time,vl,model,spvl,stage
0.001,1,thompson,1000,primary
0.001,8.7E+07,thompson,1000,primary
0.24,8.7E+07,thompson,1000,primary
0.24,1000,thompson,1000,primary
0.24,1000,thompson,1000,not_primary
15.8,1000,thompson,1000,not_primary
15.8,2.4E+07,thompson,1000,not_primary
16.55,2.4E+07,thompson,1000,not_primary
16.55,1,thompson,1000,not_primary
0.001,1,thompson,10000,primary
0.001,8.7E+07,thompson,10000,primary
0.24,8.7E+07,thompson,10000,primary
0.24,10000,thompson,10000,primary
0.24,10000,thompson,10000,not_primary
9.9145,10000,thompson,10000,not_primary
9.9145,2.4E+07,thompson,10000,not_primary
10.6645,2.4E+07,thompson,10000,not_primary
10.6645,1,thompson,10000,not_primary
0.001,1,thompson,100000,primary
0.001,8.7E+07,thompson,100000,primary
0.24,8.7E+07,thompson,100000,primary
0.24,100000,thompson,100000,primary
0.24,100000,thompson,100000,not_primary
5.1453,100000,thompson,100000,not_primary
5.1453,2.4E+07,thompson,100000,not_primary
5.8953,2.4E+07,thompson,100000,not_primary
5.8953,1,thompson,100000,not_primary
0.001,1,thompson,1000000,primary
0.001,8.7E+07,thompson,1000000,primary
0.24,8.7E+07,thompson,1000000,primary
0.24,1000000,thompson,1000000,primary
0.24,1000000,thompson,1000000,not_primary
2.403697,1000000,thompson,1000000,not_primary
2.403697,2.4E+07,thompson,1000000,not_primary
3.153697,2.4E+07,thompson,1000000,not_primary
3.153697,1,thompson,1000000,not_primary
0.001,1,new,1000,primary
0.001,2742,new,1000,primary
0.01369863,2742,new,1000,primary
0.01369863,262131,new,1000,primary
0.02821918,262131,new,1000,primary
0.02821918,491492,new,1000,primary
0.03698630,491492,new,1000,primary
0.03698630,88507,new,1000,primary
0.05232877,88507,new,1000,primary
0.05232877,25176,new,1000,primary
0.24273973,25176,new,1000,primary
0.24273973,1000,new,1000,primary
0.24273973,1000,new,1000,not_primary
15.8,1000,new,1000,not_primary
15.8,1E+07,new,1000,not_primary
16.55,1E+07,new,1000,not_primary
16.55,1,new,1000,not_primary
0.001,1,new,10000,primary
0.001,2742,new,10000,primary
0.01369863,2742,new,10000,primary
0.01369863,262131,new,10000,primary
0.02821918,262131,new,10000,primary
0.02821918,491492,new,10000,primary
0.03698630,491492,new,10000,primary
0.03698630,88507,new,10000,primary
0.05232877,88507,new,10000,primary
0.05232877,25176,new,10000,primary
0.24273973,25176,new,10000,primary
0.24273973,10000,new,10000,primary
0.24273973,10000,new,10000,not_primary
9.9145,10000,new,10000,not_primary
9.9145,1E+07,new,10000,not_primary
10.6645,1E+07,new,10000,not_primary
10.6645,1,new,10000,not_primary
0.001,1,new,100000,primary
0.001,2742,new,100000,primary
0.01369863,2742,new,100000,primary
0.01369863,262131,new,100000,primary
0.02821918,262131,new,100000,primary
0.02821918,491492,new,100000,primary
0.03698630,491492,new,100000,primary
0.03698630,88507,new,100000,primary
0.05232877,88507,new,100000,primary
0.05232877,25176,new,100000,primary
0.24273973,25176,new,100000,primary
0.24273973,100000,new,100000,primary
0.24273973,100000,new,100000,not_primary
5.1453,100000,new,100000,not_primary
5.1453,1E+07,new,100000,not_primary
5.8953,1E+07,new,100000,not_primary
5.8953,1,new,100000,not_primary
0.001,1,new,1000000,primary
0.001,2742,new,1000000,primary
0.01369863,2742,new,1000000,primary
0.01369863,262131,new,1000000,primary
0.02821918,262131,new,1000000,primary
0.02821918,491492,new,1000000,primary
0.03698630,491492,new,1000000,primary
0.03698630,88507,new,1000000,primary
0.05232877,88507,new,1000000,primary
0.05232877,25176,new,1000000,primary
0.24273973,25176,new,1000000,primary
0.24273973,1000000,new,1000000,primary
0.24273973,1000000,new,1000000,not_primary
2.403697,1000000,new,1000000,not_primary
2.403697,1E+07,new,1000000,not_primary
3.153697,1E+07,new,1000000,not_primary
3.153697,1,new,1000000,not_primary